link,name,ou
https://byui.brightspace.com/d2l/p/home/270941,ART 351R: 02 (Campus); Spring 2017,270941
https://byui.brightspace.com/d2l/p/home/268142,ART 362: 01 (Campus); Spring 2017,268142
https://byui.brightspace.com/d2l/p/home/263052,ART 364R: 01 (Campus); Spring 2017,263052
https://byui.brightspace.com/d2l/p/home/268139,ART 366R: 01 (Campus); Spring 2017,268139
https://byui.brightspace.com/d2l/p/home/270589,ART 437R: 01 (Campus); Spring 2017,270589
https://byui.brightspace.com/d2l/p/home/243322,ART 445R: 01 (Campus); Spring 2017,243322
https://byui.brightspace.com/d2l/p/home/268084,ART 460R: 01 (Campus); Spring 2017,268084
https://byui.brightspace.com/d2l/p/home/268081,ART 498R: 01 (Campus); Spring 2017,268081
https://byui.brightspace.com/d2l/p/home/273949,AS 125: 01 (Campus); Spring 2017,273949
https://byui.brightspace.com/d2l/p/home/273958,AS 125: 02 (Campus); Spring 2017,273958
https://byui.brightspace.com/d2l/p/home/271727,AS 150: 01 (Campus); Spring 2017,271727
https://byui.brightspace.com/d2l/p/home/274779,AS 150: 02 (Campus); Spring 2017,274779
https://byui.brightspace.com/d2l/p/home/265827,AS 215: 01 (Campus); Spring 2017,265827
https://byui.brightspace.com/d2l/p/home/265830,AS 215: 02 (Campus); Spring 2017,265830
https://byui.brightspace.com/d2l/p/home/265833,AS 215L: 01 (Campus); Spring 2017,265833
https://byui.brightspace.com/d2l/p/home/265836,AS 215L: 02 (Campus); Spring 2017,265836
https://byui.brightspace.com/d2l/p/home/265839,AS 215L: 03 (Campus); Spring 2017,265839
https://byui.brightspace.com/d2l/p/home/271730,AS 220: 01 (Campus); Spring 2017,271730
https://byui.brightspace.com/d2l/p/home/273964,AS 234: 01 (Campus); Spring 2017,273964
https://byui.brightspace.com/d2l/p/home/274737,"AS 247: 01,02 (Campus); Spring 2017",274737
https://byui.brightspace.com/d2l/p/home/271584,AS 315: 01 (Campus); Spring 2017,271584
https://byui.brightspace.com/d2l/p/home/271072,AS 330: 01 (Campus); Spring 2017,271072
https://byui.brightspace.com/d2l/p/home/271066,AS 336: 01 (Campus); Spring 2017,271066
https://byui.brightspace.com/d2l/p/home/275313,AS 340: 01 (Campus); Spring 2017,275313
https://byui.brightspace.com/d2l/p/home/273967,AS 380: 01 (Campus); Spring 2017,273967
https://byui.brightspace.com/d2l/p/home/271607,AS 398R: 02 (Campus); Spring 2017,271607
https://byui.brightspace.com/d2l/p/home/271069,AS 430: 01 (Campus); Spring 2017,271069
https://byui.brightspace.com/d2l/p/home/273617,"AUTO 100: 01,02 (Campus); Spring 2017",273617
https://byui.brightspace.com/d2l/p/home/268024,AUTO 100: 03 (Campus); Spring 2017,268024
https://byui.brightspace.com/d2l/p/home/268027,AUTO 100: 04 (Campus); Spring 2017,268027
https://byui.brightspace.com/d2l/p/home/268016,"AUTO 100: 05,06 (Campus); Spring 2017",268016
https://byui.brightspace.com/d2l/p/home/269218,AUTO 131: 01 (Campus); Spring 2017,269218
https://byui.brightspace.com/d2l/p/home/269231,AUTO 131L: 01 (Campus); Spring 2017,269231
https://byui.brightspace.com/d2l/p/home/275442,AUTO 131L: 02 (Campus); Spring 2017,275442
https://byui.brightspace.com/d2l/p/home/272134,AUTO 132: 01 (Campus); Spring 2017,272134
https://byui.brightspace.com/d2l/p/home/273120,AUTO 155: 01 (Campus); Spring 2017,273120
https://byui.brightspace.com/d2l/p/home/275043,AUTO 155L: 01 (Campus); Spring 2017,275043
https://byui.brightspace.com/d2l/p/home/274232,AUTO 155L: 02 (Campus); Spring 2017,274232
https://byui.brightspace.com/d2l/p/home/236445,AUTO 201: 01 (Campus); Spring 2017,236445
https://byui.brightspace.com/d2l/p/home/273128,AUTO 221: 01 (Campus); Spring 2017,273128
